NTime 7970 NIMF 12

       Time       RawData
  1990.0000     8.104E-10
  1990.0027     8.099E-10
  1990.0055     8.088E-10
  1990.0082     8.103E-10
  1990.0110     8.143E-10
  1990.0137     8.165E-10
  1990.0165     8.141E-10
  1990.0192     8.122E-10
  1990.0219     8.129E-10
  1990.0247     8.130E-10
  1990.0273     8.131E-10
  1990.0302     8.146E-10
  1990.0328     8.140E-10
  1990.0356     8.152E-10
  1990.0383     8.146E-10
  1990.0410     8.144E-10
  1990.0438     8.151E-10
  1990.0465     8.171E-10
  1990.0493     8.202E-10
  1990.0520     8.189E-10
  1990.0548     8.189E-10
  1990.0575     8.181E-10
  1990.0602     8.163E-10
  1990.0630     8.149E-10
  1990.0657     8.147E-10
  1990.0685     8.166E-10
  1990.0712     8.187E-10
  1990.0740     8.205E-10
  1990.0767     8.189E-10
  1990.0793     8.173E-10
  1990.0822     8.196E-10
  1990.0848     8.195E-10
  1990.0876     8.170E-10
  1990.0903     8.173E-10
  1990.0931     8.164E-10
  1990.0958     8.202E-10
  1990.0985     8.197E-10
  1990.1013     8.178E-10
  1990.1040     8.198E-10
  1990.1068     8.197E-10
  1990.1095     8.214E-10
  1990.1123     8.210E-10
  1990.1150     8.239E-10
  1990.1177     8.242E-10
  1990.1205     8.240E-10
  1990.1232     8.251E-10
  1990.1260     8.242E-10
  1990.1287     8.231E-10
  1990.1315     8.224E-10
  1990.1342     8.233E-10
  1990.1368     8.260E-10
  1990.1396     8.252E-10
  1990.1423     8.258E-10
  1990.1451     8.253E-10
  1990.1478     8.233E-10
  1990.1506     8.238E-10
  1990.1533     8.250E-10
  1990.1560     8.251E-10
  1990.1588     8.238E-10
  1990.1615     8.235E-10
  1990.1643     8.245E-10
  1990.1670     8.232E-10
  1990.1698     8.215E-10
  1990.1725     8.221E-10
  1990.1753     8.220E-10
  1990.1780     8.212E-10
  1990.1807     8.219E-10
  1990.1835     8.216E-10
  1990.1862     8.201E-10
  1990.1890     8.197E-10
  1990.1917     8.219E-10
  1990.1945     8.223E-10
  1990.1971     8.211E-10
  1990.1998     8.213E-10
  1990.2026     8.237E-10
  1990.2053     8.236E-10
  1990.2081     8.239E-10
  1990.2108     8.236E-10
  1990.2136     8.232E-10
  1990.2163     8.226E-10
  1990.2190     8.222E-10
  1990.2218     8.221E-10
  1990.2245     8.221E-10
  1990.2273     8.217E-10
  1990.2300     8.203E-10
  1990.2328     8.182E-10
  1990.2355     8.177E-10
  1990.2382     8.177E-10
  1990.2410     8.169E-10
  1990.2437     8.169E-10
  1990.2465     8.172E-10
  1990.2491     8.168E-10
  1990.2520     8.159E-10
  1990.2546     8.140E-10
  1990.2573     8.136E-10
  1990.2601     8.127E-10
  1990.2628     8.123E-10
  1990.2656     8.128E-10
  1990.2683     8.124E-10
  1990.2711     8.141E-10
  1990.2738     8.150E-10
  1990.2765     8.146E-10
  1990.2793     8.142E-10
  1990.2820     8.154E-10
  1990.2848     8.163E-10
  1990.2875     8.173E-10
  1990.2903     8.169E-10
  1990.2930     8.162E-10
  1990.2957     8.159E-10
  1990.2985     8.149E-10
  1990.3011     8.127E-10
  1990.3040     8.107E-10
  1990.3066     8.087E-10
  1990.3094     8.072E-10
  1990.3121     8.083E-10
  1990.3148     8.079E-10
  1990.3176     8.056E-10
  1990.3203     8.032E-10
  1990.3231     8.025E-10
  1990.3258     8.034E-10
  1990.3286     8.033E-10
  1990.3313     8.039E-10
  1990.3340     8.037E-10
  1990.3368     8.036E-10
  1990.3395     8.039E-10
  1990.3423     8.045E-10
  1990.3450     8.051E-10
  1990.3478     8.053E-10
  1990.3505     8.049E-10
  1990.3531     8.048E-10
  1990.3560     8.044E-10
  1990.3586     8.040E-10
  1990.3615     8.036E-10
  1990.3641     8.024E-10
  1990.3669     8.016E-10
  1990.3696     8.026E-10
  1990.3723     8.012E-10
  1990.3751     7.998E-10
  1990.3778     7.979E-10
  1990.3806     7.967E-10
  1990.3833     7.962E-10
  1990.3861     7.962E-10
  1990.3888     7.954E-10
  1990.3915     7.944E-10
  1990.3943     7.941E-10
  1990.3970     7.945E-10
  1990.3998     7.933E-10
  1990.4025     7.941E-10
  1990.4053     7.943E-10
  1990.4080     7.928E-10
  1990.4106     7.914E-10
  1990.4135     7.932E-10
  1990.4161     7.919E-10
  1990.4189     7.924E-10
  1990.4216     7.936E-10
  1990.4244     7.930E-10
  1990.4271     7.941E-10
  1990.4298     7.953E-10
  1990.4326     7.947E-10
  1990.4353     7.956E-10
  1990.4381     7.961E-10
  1990.4408     7.966E-10
  1990.4436     7.967E-10
  1990.4463     7.959E-10
  1990.4490     7.944E-10
  1990.4518     7.943E-10
  1990.4545     7.941E-10
  1990.4573     7.904E-10
  1990.4600     7.904E-10
  1990.4628     7.926E-10
  1990.4655     7.906E-10
  1990.4681     7.905E-10
  1990.4709     7.922E-10
  1990.4736     7.932E-10
  1990.4764     7.940E-10
  1990.4791     7.944E-10
  1990.4819     7.938E-10
  1990.4846     7.940E-10
  1990.4873     7.953E-10
  1990.4901     7.949E-10
  1990.4928     7.947E-10
  1990.4956     7.960E-10
  1990.4983     7.950E-10
  1990.5011     7.965E-10
  1990.5038     7.948E-10
  1990.5066     7.947E-10
  1990.5093     7.969E-10
  1990.5120     7.966E-10
  1990.5148     7.953E-10
  1990.5175     7.967E-10
  1990.5203     7.963E-10
  1990.5229     7.965E-10
  1990.5258     7.951E-10
  1990.5284     7.952E-10
  1990.5311     7.954E-10
  1990.5339     7.948E-10
  1990.5366     7.970E-10
  1990.5394     7.966E-10
  1990.5421     7.982E-10
  1990.5449     7.985E-10
  1990.5476     8.005E-10
  1990.5503     8.005E-10
  1990.5531     8.012E-10
  1990.5558     8.015E-10
  1990.5586     8.004E-10
  1990.5613     8.017E-10
  1990.5641     8.062E-10
  1990.5668     8.044E-10
  1990.5695     8.038E-10
  1990.5723     8.043E-10
  1990.5750     8.046E-10
  1990.5778     8.049E-10
  1990.5804     8.048E-10
  1990.5833     8.057E-10
  1990.5859     8.092E-10
  1990.5886     8.086E-10
  1990.5914     8.072E-10
  1990.5941     8.073E-10
  1990.5969     8.083E-10
  1990.5996     8.055E-10
  1990.6024     8.053E-10
  1990.6051     8.077E-10
  1990.6078     8.094E-10
  1990.6106     8.098E-10
  1990.6133     8.115E-10
  1990.6161     8.114E-10
  1990.6188     8.107E-10
  1990.6216     8.115E-10
  1990.6243     8.128E-10
  1990.6270     8.145E-10
  1990.6298     8.149E-10
  1990.6324     8.148E-10
  1990.6353     8.142E-10
  1990.6379     8.149E-10
  1990.6407     8.160E-10
  1990.6434     8.165E-10
  1990.6461     8.163E-10
  1990.6489     8.162E-10
  1990.6516     8.149E-10
  1990.6544     8.145E-10
  1990.6571     8.161E-10
  1990.6599     8.152E-10
  1990.6626     8.162E-10
  1990.6653     8.156E-10
  1990.6681     8.151E-10
  1990.6708     8.166E-10
  1990.6736     8.179E-10
  1990.6763     8.173E-10
  1990.6791     8.178E-10
  1990.6818     8.178E-10
  1990.6844     8.190E-10
  1990.6873     8.196E-10
  1990.6899     8.205E-10
  1990.6927     8.226E-10
  1990.6954     8.211E-10
  1990.6982     8.208E-10
  1990.7009     8.209E-10
  1990.7036     8.221E-10
  1990.7064     8.218E-10
  1990.7091     8.209E-10
  1990.7119     8.204E-10
  1990.7146     8.214E-10
  1990.7174     8.207E-10
  1990.7201     8.203E-10
  1990.7228     8.190E-10
  1990.7256     8.186E-10
  1990.7283     8.206E-10
  1990.7311     8.211E-10
  1990.7338     8.207E-10
  1990.7366     8.206E-10
  1990.7393     8.200E-10
  1990.7419     8.210E-10
  1990.7448     8.212E-10
  1990.7474     8.208E-10
  1990.7502     8.209E-10
  1990.7529     8.211E-10
  1990.7557     8.219E-10
  1990.7584     8.247E-10
  1990.7611     8.239E-10
  1990.7639     8.233E-10
  1990.7666     8.234E-10
  1990.7694     8.227E-10
  1990.7721     8.229E-10
  1990.7749     8.221E-10
  1990.7776     8.219E-10
  1990.7803     8.238E-10
  1990.7831     8.243E-10
  1990.7858     8.231E-10
  1990.7886     8.239E-10
  1990.7913     8.244E-10
  1990.7941     8.234E-10
  1990.7968     8.229E-10
  1990.7994     8.235E-10
  1990.8022     8.227E-10
  1990.8049     8.216E-10
  1990.8077     8.212E-10
  1990.8104     8.203E-10
  1990.8132     8.200E-10
  1990.8159     8.197E-10
  1990.8186     8.182E-10
  1990.8214     8.178E-10
  1990.8241     8.181E-10
  1990.8269     8.182E-10
  1990.8296     8.179E-10
  1990.8324     8.178E-10
  1990.8351     8.187E-10
  1990.8379     8.187E-10
  1990.8406     8.183E-10
  1990.8433     8.179E-10
  1990.8461     8.182E-10
  1990.8488     8.183E-10
  1990.8516     8.187E-10
  1990.8542     8.180E-10
  1990.8571     8.187E-10
  1990.8597     8.179E-10
  1990.8624     8.170E-10
  1990.8652     8.155E-10
  1990.8679     8.137E-10
  1990.8707     8.153E-10
  1990.8734     8.149E-10
  1990.8762     8.148E-10
  1990.8789     8.151E-10
  1990.8816     8.144E-10
  1990.8844     8.138E-10
  1990.8871     8.133E-10
  1990.8899     8.145E-10
  1990.8926     8.131E-10
  1990.8954     8.143E-10
  1990.8981     8.154E-10
  1990.9008     8.133E-10
  1990.9036     8.128E-10
  1990.9062     8.133E-10
  1990.9091     8.136E-10
  1990.9117     8.136E-10
  1990.9146     8.142E-10
  1990.9172     8.157E-10
  1990.9199     8.163E-10
  1990.9227     8.161E-10
  1990.9254     8.163E-10
  1990.9282     8.152E-10
  1990.9309     8.147E-10
  1990.9337     8.128E-10
  1990.9364     8.123E-10
  1990.9391     8.120E-10
  1990.9419     8.124E-10
  1990.9446     8.127E-10
  1990.9474     8.135E-10
  1990.9501     8.131E-10
  1990.9529     8.128E-10
  1990.9556     8.122E-10
  1990.9583     8.143E-10
  1990.9611     8.129E-10
  1990.9637     8.127E-10
  1990.9666     8.137E-10
  1990.9692     8.149E-10
  1990.9720     8.157E-10
  1990.9747     8.148E-10
  1990.9774     8.160E-10
  1990.9802     8.163E-10
  1990.9829     8.178E-10
  1990.9857     8.182E-10
  1990.9884     8.167E-10
  1990.9912     8.156E-10
  1990.9939     8.172E-10
  1990.9966     8.188E-10
  1990.9994     8.198E-10
  1991.0021     8.188E-10
  1991.0049     8.170E-10
  1991.0076     8.136E-10
  1991.0104     8.123E-10
  1991.0131     8.119E-10
  1991.0157     8.133E-10
  1991.0186     8.116E-10
  1991.0212     8.130E-10
  1991.0240     8.148E-10
  1991.0267     8.147E-10
  1991.0295     8.151E-10
  1991.0322     8.153E-10
  1991.0349     8.142E-10
  1991.0377     8.166E-10
  1991.0404     8.172E-10
  1991.0432     8.192E-10
  1991.0459     8.186E-10
  1991.0487     8.190E-10
  1991.0514     8.187E-10
  1991.0541     8.168E-10
  1991.0569     8.199E-10
  1991.0596     8.213E-10
  1991.0624     8.229E-10
  1991.0651     8.221E-10
  1991.0679     8.171E-10
  1991.0706     8.193E-10
  1991.0732     8.228E-10
  1991.0760     8.225E-10
  1991.0787     8.211E-10
  1991.0815     8.208E-10
  1991.0842     8.204E-10
  1991.0870     8.218E-10
  1991.0897     8.245E-10
  1991.0924     8.239E-10
  1991.0952     8.238E-10
  1991.0979     8.245E-10
  1991.1007     8.230E-10
  1991.1034     8.247E-10
  1991.1062     8.251E-10
  1991.1089     8.248E-10
  1991.1116     8.222E-10
  1991.1144     8.225E-10
  1991.1171     8.238E-10
  1991.1199     8.243E-10
  1991.1226     8.240E-10
  1991.1254     8.233E-10
  1991.1281     8.248E-10
  1991.1307     8.268E-10
  1991.1335     8.284E-10
  1991.1362     8.311E-10
  1991.1390     8.326E-10
  1991.1417     8.310E-10
  1991.1445     8.296E-10
  1991.1472     8.293E-10
  1991.1499     8.284E-10
  1991.1527     8.257E-10
  1991.1554     8.272E-10
  1991.1582     8.279E-10
  1991.1609     8.271E-10
  1991.1637     8.248E-10
  1991.1664     8.245E-10
  1991.1692     8.239E-10
  1991.1719     8.229E-10
  1991.1746     8.230E-10
  1991.1774     8.243E-10
  1991.1801     8.243E-10
  1991.1829     8.240E-10
  1991.1855     8.231E-10
  1991.1884     8.239E-10
  1991.1910     8.233E-10
  1991.1937     8.243E-10
  1991.1965     8.234E-10
  1991.1992     8.227E-10
  1991.2020     8.228E-10
  1991.2047     8.234E-10
  1991.2075     8.236E-10
  1991.2102     8.217E-10
  1991.2129     8.211E-10
  1991.2157     8.192E-10
  1991.2184     8.196E-10
  1991.2212     8.196E-10
  1991.2239     8.195E-10
  1991.2267     8.201E-10
  1991.2294     8.210E-10
  1991.2321     8.196E-10
  1991.2349     8.181E-10
  1991.2375     8.177E-10
  1991.2404     8.175E-10
  1991.2430     8.178E-10
  1991.2458     8.191E-10
  1991.2485     8.218E-10
  1991.2512     8.218E-10
  1991.2540     8.211E-10
  1991.2567     8.208E-10
  1991.2595     8.208E-10
  1991.2622     8.206E-10
  1991.2650     8.215E-10
  1991.2677     8.214E-10
  1991.2704     8.207E-10
  1991.2732     8.203E-10
  1991.2759     8.203E-10
  1991.2787     8.190E-10
  1991.2814     8.185E-10
  1991.2842     8.173E-10
  1991.2869     8.163E-10
  1991.2896     8.165E-10
  1991.2924     8.154E-10
  1991.2950     8.129E-10
  1991.2979     8.101E-10
  1991.3005     8.086E-10
  1991.3033     8.090E-10
  1991.3060     8.082E-10
  1991.3087     8.080E-10
  1991.3115     8.078E-10
  1991.3142     8.078E-10
  1991.3170     8.087E-10
  1991.3197     8.091E-10
  1991.3225     8.086E-10
  1991.3252     8.093E-10
  1991.3279     8.088E-10
  1991.3307     8.087E-10
  1991.3334     8.085E-10
  1991.3362     8.084E-10
  1991.3389     8.076E-10
  1991.3417     8.068E-10
  1991.3444     8.076E-10
  1991.3470     8.074E-10
  1991.3499     8.060E-10
  1991.3525     8.050E-10
  1991.3553     8.045E-10
  1991.3580     8.036E-10
  1991.3608     8.013E-10
  1991.3635     8.020E-10
  1991.3662     8.021E-10
  1991.3690     8.011E-10
  1991.3717     7.998E-10
  1991.3745     7.998E-10
  1991.3772     7.992E-10
  1991.3800     7.979E-10
  1991.3827     7.980E-10
  1991.3854     7.977E-10
  1991.3882     7.983E-10
  1991.3909     7.997E-10
  1991.3937     7.985E-10
  1991.3964     7.985E-10
  1991.3992     7.998E-10
  1991.4019     7.989E-10
  1991.4045     7.981E-10
  1991.4073     7.983E-10
  1991.4100     7.960E-10
  1991.4128     7.965E-10
  1991.4155     7.961E-10
  1991.4183     7.974E-10
  1991.4210     7.976E-10
  1991.4237     7.978E-10
  1991.4265     7.964E-10
  1991.4292     7.963E-10
  1991.4320     7.983E-10
  1991.4347     7.979E-10
  1991.4375     7.974E-10
  1991.4402     7.956E-10
  1991.4429     7.969E-10
  1991.4457     7.964E-10
  1991.4484     7.961E-10
  1991.4512     7.936E-10
  1991.4539     7.938E-10
  1991.4567     7.935E-10
  1991.4594     7.939E-10
  1991.4620     7.954E-10
  1991.4648     7.954E-10
  1991.4675     7.942E-10
  1991.4703     7.939E-10
  1991.4730     7.939E-10
  1991.4758     7.953E-10
  1991.4785     7.960E-10
  1991.4812     7.963E-10
  1991.4840     7.950E-10
  1991.4867     7.930E-10
  1991.4895     7.934E-10
  1991.4922     7.936E-10
  1991.4950     7.951E-10
  1991.4977     7.967E-10
  1991.5005     7.963E-10
  1991.5032     7.988E-10
  1991.5059     7.991E-10
  1991.5087     7.966E-10
  1991.5114     7.954E-10
  1991.5142     7.955E-10
  1991.5168     7.944E-10
  1991.5197     7.920E-10
  1991.5223     7.944E-10
  1991.5250     7.965E-10
  1991.5278     7.956E-10
  1991.5305     7.959E-10
  1991.5333     7.952E-10
  1991.5360     7.958E-10
  1991.5388     7.983E-10
  1991.5415     7.968E-10
  1991.5442     7.978E-10
  1991.5470     7.991E-10
  1991.5497     7.980E-10
  1991.5525     7.961E-10
  1991.5552     7.967E-10
  1991.5580     7.987E-10
  1991.5607     8.012E-10
  1991.5634     8.018E-10
  1991.5662     8.009E-10
  1991.5688     8.017E-10
  1991.5717     8.023E-10
  1991.5743     8.012E-10
  1991.5771     8.027E-10
  1991.5798     8.034E-10
  1991.5825     8.024E-10
  1991.5853     8.030E-10
  1991.5880     8.018E-10
  1991.5908     8.022E-10
  1991.5935     8.019E-10
