NTime  254 NIMF  7

       Time       RawData
  1990.0800     1.117E-08
  1990.1700     1.124E-08
  1990.2500     1.120E-08
  1990.3300     1.090E-08
  1990.4200     1.056E-08
  1990.5000     1.076E-08
  1990.5800     1.094E-08
  1990.6700     1.128E-08
  1990.7500     1.129E-08
  1990.8300     1.098E-08
  1990.9200     1.088E-08
  1991.0000     1.090E-08
  1991.0800     1.115E-08
  1991.1700     1.137E-08
  1991.2500     1.090E-08
  1991.3300     1.064E-08
  1991.4200     1.071E-08
  1991.5000     1.092E-08
  1991.5800     1.117E-08
  1991.6700     1.134E-08
  1991.7500     1.115E-08
  1991.8300     1.083E-08
  1991.9200     1.084E-08
  1992.0000     1.084E-08
  1992.0800     1.107E-08
  1992.1700     1.118E-08
  1992.2500     1.066E-08
  1992.3300     1.034E-08
  1992.4200     1.040E-08
  1992.5000     1.060E-08
  1992.5800     1.082E-08
  1992.6700     1.092E-08
  1992.7500     1.063E-08
  1992.8300     1.067E-08
  1992.9200     1.073E-08
  1993.0000     1.089E-08
  1993.0800     1.106E-08
  1993.1700     1.089E-08
  1993.2500     1.046E-08
  1993.3300     1.046E-08
  1993.4200     1.056E-08
  1993.5000     1.074E-08
  1993.5800     1.090E-08
  1993.6700     1.087E-08
  1993.7500     1.062E-08
  1993.8300     1.062E-08
  1993.9200     1.076E-08
  1994.0000     1.096E-08
  1994.0800     1.104E-08
  1994.1700     1.072E-08
  1994.2500     1.039E-08
  1994.3300     1.039E-08
  1994.4200     1.053E-08
  1994.5000     1.072E-08
  1994.5800     1.083E-08
  1994.6700     1.074E-08
  1994.7500     1.050E-08
  1994.8300     1.066E-08
  1994.9200     1.065E-08
  1995.0000     1.086E-08
  1995.0800     1.091E-08
  1995.1700     1.050E-08
  1995.2500     1.024E-08
  1995.3300     1.040E-08
  1995.4200     1.049E-08
  1995.5000     1.071E-08
  1995.5800     1.074E-08
  1995.6700     1.063E-08
  1995.7500     1.047E-08
  1995.8300     1.063E-08
  1995.9200     1.077E-08
  1996.0000     1.085E-08
  1996.0800     1.069E-08
  1996.1700     1.039E-08
  1996.2500     1.040E-08
  1996.3300     1.048E-08
  1996.4200     1.060E-08
  1996.5000     1.077E-08
  1996.5800     1.080E-08
  1996.6700     1.050E-08
  1996.7500     1.048E-08
  1996.8300     1.062E-08
  1996.9200     1.082E-08
  1997.0000     1.092E-08
  1997.0800     1.068E-08
  1997.1700     1.035E-08
  1997.2500     1.041E-08
  1997.3300     1.051E-08
  1997.4200     1.071E-08
  1997.5000     1.085E-08
  1997.5800     1.081E-08
  1997.6700     1.056E-08
  1997.7500     1.056E-08
  1997.8300     1.067E-08
  1997.9200     1.082E-08
  1998.0000     1.086E-08
  1998.0800     1.059E-08
  1998.1700     1.040E-08
  1998.2500     1.051E-08
  1998.3300     1.071E-08
  1998.4200     1.101E-08
  1998.5000     1.112E-08
  1998.5800     1.088E-08
  1998.6700     1.079E-08
  1998.7500     1.084E-08
  1998.8300     1.100E-08
  1998.9200     1.116E-08
  1999.0000     1.096E-08
  1999.0800     1.048E-08
  1999.1700     1.059E-08
  1999.2500     1.076E-08
  1999.3300     1.091E-08
  1999.4200     1.113E-08
  1999.5000     1.113E-08
  1999.5800     1.085E-08
  1999.6700     1.085E-08
  1999.7500     1.104E-08
  1999.8300     1.118E-08
  1999.9200     1.136E-08
  2000.0000     1.106E-08
  2000.0800     1.077E-08
  2000.1700     1.082E-08
  2000.2500     1.099E-08
  2000.3300     1.125E-08
  2000.4200     1.137E-08
  2000.5000     1.124E-08
  2000.5800     1.092E-08
  2000.6700     1.099E-08
  2000.7500     1.115E-08
  2000.8300     1.124E-08
  2000.9200     1.130E-08
  2001.0000     1.098E-08
  2001.0800     1.059E-08
  2001.1700     1.072E-08
  2001.2500     1.083E-08
  2001.3300     1.118E-08
  2001.4200     1.139E-08
  2001.5000     1.119E-08
  2001.5800     1.108E-08
  2001.6700     1.103E-08
  2001.7500     1.134E-08
  2001.8300     1.144E-08
  2001.9200     1.126E-08
  2002.0000     1.069E-08
  2002.0800     1.055E-08
  2002.1700     1.066E-08
  2002.2500     1.092E-08
  2002.3300     1.122E-08
  2002.4200     1.093E-08
  2002.5000     1.079E-08
  2002.5800     1.089E-08
  2002.6700     1.088E-08
  2002.7500     1.098E-08
  2002.8300     1.105E-08
  2002.9200     1.074E-08
  2003.0000     1.045E-08
  2003.0800     1.045E-08
  2003.1700     1.062E-08
  2003.2500     1.091E-08
  2003.3300     1.100E-08
  2003.4200     1.076E-08
  2003.5000     1.072E-08
  2003.5800     1.062E-08
  2003.6700     1.063E-08
  2003.7500     1.089E-08
  2003.8300     1.078E-08
  2003.9200     1.051E-08
  2004.0000     1.027E-08
  2004.0800     1.038E-08
  2004.1700     1.062E-08
  2004.2500     1.079E-08
  2004.3300     1.077E-08
  2004.4200     1.049E-08
  2004.5000     1.055E-08
  2004.5800     1.068E-08
  2004.6700     1.081E-08
  2004.7500     1.083E-08
  2004.8300     1.066E-08
  2004.9200     1.041E-08
  2005.0000     1.041E-08
  2005.0800     1.046E-08
  2005.1700     1.061E-08
  2005.2500     1.079E-08
  2005.3300     1.066E-08
  2005.4200     1.046E-08
  2005.5000     1.049E-08
  2005.5800     1.052E-08
  2005.6700     1.079E-08
  2005.7500     1.085E-08
  2005.8300     1.068E-08
  2005.9200     1.034E-08
  2006.0000     1.025E-08
  2006.0800     1.036E-08
  2006.1700     1.057E-08
  2006.2500     1.069E-08
  2006.3300     1.053E-08
  2006.4200     1.044E-08
  2006.5000     1.051E-08
  2006.5800     1.059E-08
  2006.6700     1.080E-08
  2006.7500     1.071E-08
  2006.8300     1.047E-08
  2006.9200     1.029E-08
  2007.0000     1.031E-08
  2007.0800     1.047E-08
  2007.1700     1.062E-08
  2007.2500     1.068E-08
  2007.3300     1.041E-08
  2007.4200     1.046E-08
  2007.5000     1.060E-08
  2007.5800     1.065E-08
  2007.6700     1.072E-08
  2007.7500     1.056E-08
  2007.8300     1.015E-08
  2007.9200     1.014E-08
  2008.0000     1.033E-08
  2008.0800     1.049E-08
  2008.1700     1.071E-08
  2008.2500     1.063E-08
  2008.3300     1.048E-08
  2008.4200     1.050E-08
  2008.5000     1.063E-08
  2008.5800     1.073E-08
  2008.6700     1.080E-08
  2008.7500     1.050E-08
  2008.8300     1.027E-08
  2008.9200     1.035E-08
  2009.0000     1.045E-08
  2009.0800     1.066E-08
  2009.1700     1.077E-08
  2009.2500     1.056E-08
  2009.3300     1.046E-08
  2009.4200     1.045E-08
  2009.5000     1.069E-08
  2009.5800     1.082E-08
  2009.6700     1.080E-08
  2009.7500     1.058E-08
  2009.8300     1.037E-08
  2009.9200     1.044E-08
  2010.0000     1.063E-08
  2010.0800     1.081E-08
  2010.1700     1.096E-08
  2010.2500     1.069E-08
  2010.3300     1.064E-08
  2010.4200     1.072E-08
  2010.5000     1.103E-08
  2010.5800     1.118E-08
  2010.6700     1.094E-08
  2010.7500     1.057E-08
  2010.8300     1.055E-08
  2010.9200     1.066E-08
  2011.0000     1.092E-08
  2011.0800     1.108E-08
  2011.1700     1.105E-08

       Time         IMF1          IMF2          IMF3          IMF4          IMF5          IMF6      Residual
  1990.0800    8.728E-11     8.577E-11    -8.124E-11    -2.511E-12     3.103E-10    -3.328E-12     1.077E-08
  1990.1700    2.243E-10     2.748E-11    -1.009E-10     1.130E-11     2.992E-10    -1.671E-12     1.078E-08
