NTime  264 NIMF  8

       Time       RawData
  1990.0800         12.68
  1990.1700         12.68
  1990.2500         12.59
  1990.3300         12.40
  1990.4200         12.30
  1990.5000         12.34
  1990.5800         12.51
  1990.6700         12.68
  1990.7500         13.01
  1990.8300         12.96
  1990.9200         12.88
  1991.0000         12.81
  1991.0800         12.65
  1991.1700         12.67
  1991.2500         12.52
  1991.3300         12.37
  1991.4200         12.21
  1991.5000         12.25
  1991.5800         12.42
  1991.6700         12.76
  1991.7500         12.98
  1991.8300         13.04
  1991.9200         12.86
  1992.0000         12.78
  1992.0800         12.68
  1992.1700         12.62
  1992.2500         12.66
  1992.3300         12.53
  1992.4200         12.42
  1992.5000         12.37
  1992.5800         12.45
  1992.6700         12.80
  1992.7500         13.11
  1992.8300         13.27
  1992.9200         13.11
  1993.0000         12.83
  1993.0800         12.86
  1993.1700         12.92
  1993.2500         12.93
  1993.3300         12.83
  1993.4200         12.62
  1993.5000         12.53
  1993.5800         12.58
  1993.6700         12.73
  1993.7500         12.90
  1993.8300         12.99
  1993.9200         12.90
  1994.0000         12.77
  1994.0800         12.63
  1994.1700         12.60
  1994.2500         12.60
  1994.3300         12.51
  1994.4200         12.34
  1994.5000         12.21
  1994.5800         12.33
  1994.6700         12.53
  1994.7500         12.84
  1994.8300         12.99
  1994.9200         13.07
  1995.0000         12.84
  1995.0800         13.01
  1995.1700         12.91
  1995.2500         12.88
  1995.3300         12.84
  1995.4200         12.57
  1995.5000         12.45
  1995.5800         12.50
  1995.6700         12.75
  1995.7500         12.93
  1995.8300         13.09
  1995.9200         13.03
  1996.0000         12.80
  1996.0800         12.86
  1996.1700         12.85
  1996.2500         12.75
  1996.3300         12.66
  1996.4200         12.53
  1996.5000         12.38
  1996.5800         12.34
  1996.6700         12.47
  1996.7500         12.73
  1996.8300         12.91
  1996.9200         13.01
  1997.0000         12.90
  1997.0800         12.78
  1997.1700         12.86
  1997.2500         12.87
  1997.3300         12.92
  1997.4200         12.71
  1997.5000         12.59
  1997.5800         12.49
  1997.6700         12.61
  1997.7500         12.76
  1997.8300         12.89
  1997.9200         13.06
  1998.0000         12.87
  1998.0800         12.68
  1998.1700         12.67
  1998.2500         12.62
  1998.3300         12.57
  1998.4200         12.41
  1998.5000         12.22
  1998.5800         12.18
  1998.6700         12.36
  1998.7500         12.57
  1998.8300         12.81
  1998.9200         12.98
  1999.0000         12.92
  1999.0800         12.74
  1999.1700         12.76
  1999.2500         12.97
  1999.3300         12.87
  1999.4200         12.74
  1999.5000         12.62
  1999.5800         12.42
  1999.6700         12.55
  1999.7500         12.73
  1999.8300         12.92
  1999.9200         12.99
  2000.0000         12.97
  2000.0800         12.84
  2000.1700         12.75
  2000.2500         12.67
  2000.3300         12.65
  2000.4200         12.51
  2000.5000         12.41
  2000.5800         12.34
  2000.6700         12.43
  2000.7500         12.66
  2000.8300         12.88
  2000.9200         13.00
  2001.0000         12.91
  2001.0800         12.56
  2001.1700         12.49
  2001.2500         12.52
  2001.3300         12.61
  2001.4200         12.50
  2001.5000         12.41
  2001.5800         12.28
  2001.6700         12.36
  2001.7500         12.61
  2001.8300         12.91
  2001.9200         12.97
  2002.0000         12.99
  2002.0800         12.83
  2002.1700         12.68
  2002.2500         12.58
  2002.3300         12.69
  2002.4200         12.61
  2002.5000         12.45
  2002.5800         12.28
  2002.6700         12.32
  2002.7500         12.32
  2002.8300         12.62
  2002.9200         12.84
  2003.0000         12.77
  2003.0800         12.58
  2003.1700         12.61
  2003.2500         12.51
  2003.3300         12.57
  2003.4200         12.50
  2003.5000         12.33
  2003.5800         12.20
  2003.6700         12.14
  2003.7500         12.37
  2003.8300         12.65
  2003.9200         12.82
  2004.0000         12.95
  2004.0800         12.80
  2004.1700         12.59
  2004.2500         12.57
  2004.3300         12.69
  2004.4200         12.68
  2004.5000         12.54
  2004.5800         12.39
  2004.6700         12.31
  2004.7500         12.49
  2004.8300         12.60
  2004.9200         12.85
  2005.0000         13.10
  2005.0800         12.80
  2005.1700         12.62
  2005.2500         12.62
  2005.3300         12.68
  2005.4200         12.63
  2005.5000         12.47
  2005.5800         12.30
  2005.6700         12.17
  2005.7500         12.29
  2005.8300         12.57
  2005.9200         12.80
  2006.0000         12.84
  2006.0800         12.73
  2006.1700         12.54
  2006.2500         12.50
  2006.3300         12.68
  2006.4200         12.78
  2006.5000         12.68
  2006.5800         12.61
  2006.6700         12.43
  2006.7500         12.53
  2006.8300         12.70
  2006.9200         12.93
  2007.0000         13.07
  2007.0800         13.14
  2007.1700         12.92
  2007.2500         12.75
  2007.3300         12.71
  2007.4200         12.64
  2007.5000         12.49
  2007.5800         12.38
  2007.6700         12.22
  2007.7500         12.36
  2007.8300         12.50
  2007.9200         12.78
  2008.0000         12.95
  2008.0800         12.90
  2008.1700         12.78
  2008.2500         12.73
  2008.3300         12.98
  2008.4200         12.85
  2008.5000         12.67
  2008.5800         12.59
  2008.6700         12.47
  2008.7500         12.48
  2008.8300         12.71
  2008.9200         12.97
  2009.0000         13.18
  2009.0800         13.16
  2009.1700         12.98
  2009.2500         12.83
  2009.3300         12.86
  2009.4200         12.89
  2009.5000         12.81
  2009.5800         12.69
  2009.6700         12.50
  2009.7500         12.44
  2009.8300         12.61
  2009.9200         12.91
  2010.0000         13.05
  2010.0800         13.04
  2010.1700         12.74
  2010.2500         12.59
  2010.3300         12.53
  2010.4200         12.73
  2010.5000         12.82
  2010.5800         12.64
  2010.6700         12.46
  2010.7500         12.42
  2010.8300         12.57
  2010.9200         12.73
  2011.0000         13.02
  2011.0800         13.16
  2011.1700         12.97
  2011.2500         12.76
  2011.3300         12.68
  2011.4200         12.83
  2011.5000         12.83
  2011.5800         12.77
  2011.6700         12.62
  2011.7500         12.55
  2011.8300         12.67
  2011.9200         12.95
  2012.0000         13.08

       Time         IMF1          IMF2          IMF3          IMF4          IMF5          IMF6          IMF7      Residual
  1990.0800       0.1162      -0.05455      -0.05921       0.02096     -0.003683      -0.01176      0.004546         12.67
  1990.1700       0.2004       -0.1309      -0.05824      0.002163     -0.002495     -0.009502      0.004669         12.67
  1990.2500       0.1845       -0.1952      -0.05489      -0.01456     -0.001416     -0.007285      0.004785         12.67
  1990.3300      0.03847       -0.2301      -0.04975      -0.02928    -0.0004436     -0.005105      0.004896         12.67
  1990.4200     -0.06830       -0.2174      -0.04337      -0.04208     0.0004263     -0.002963      0.005000         12.67
  1990.5000      -0.1070       -0.1410      -0.03632      -0.05303      0.001197    -0.0008583      0.005099         12.67
  1990.5800     -0.07148    -0.0009555      -0.02916      -0.06221      0.001873      0.001209      0.005192         12.67
  1990.6700     -0.08118        0.1727      -0.02246      -0.06969      0.002456      0.003238      0.005279         12.67
