NTime  264 NIMF  8

       Time       RawData
  1990.0800         1.544
  1990.1700        0.5830
  1990.2500         2.638
  1990.3300         2.504
  1990.4200         1.718
  1990.5000         1.500
  1990.5800        0.8150
  1990.6700       -0.1134
  1990.7500       -0.1732
  1990.8300        0.1805
  1990.9200        0.3865
  1991.0000        0.4856
  1991.0800        -1.476
  1991.1700        -1.519
  1991.2500        -1.349
  1991.3300        -1.546
  1991.4200        -1.124
  1991.5000       -0.8524
  1991.5800      -0.09658
  1991.6700         1.066
  1991.7500         1.756
  1991.8300         2.545
  1991.9200         2.211
  1992.0000         2.127
  1992.0800         1.569
  1992.1700         2.159
  1992.2500         2.594
  1992.3300         1.290
  1992.4200         1.587
  1992.5000         1.177
  1992.5800        0.5215
  1992.6700        0.5435
  1992.7500         1.093
  1992.8300        0.8653
  1992.9200         1.641
  1993.0000         2.033
  1993.0800         1.753
  1993.1700         1.476
  1993.2500      -0.04322
  1993.3300       -0.1896
  1993.4200       -0.5530
  1993.5000       -0.6774
  1993.5800       -0.7725
  1993.6700       -0.9858
  1993.7500        -1.399
  1993.8300       -0.5999
  1993.9200        -1.368
  1994.0000        -1.288
  1994.0800        -2.183
  1994.1700        -1.208
  1994.2500       -0.5899
  1994.3300        -1.197
  1994.4200        -1.103
  1994.5000       -0.5641
  1994.5800        0.2109
  1994.6700        0.4260
  1994.7500        0.3561
  1994.8300         1.112
  1994.9200        0.9925
  1995.0000        0.3756
  1995.0800         1.913
  1995.1700        0.1644
  1995.2500        0.9023
  1995.3300        0.4443
  1995.4200       -0.5124
  1995.5000        0.1630
  1995.5800       0.09662
  1995.6700       -0.3831
  1995.7500       -0.8611
  1995.8300       -0.4794
  1995.9200        0.3226
  1996.0000        0.2110
  1996.0800         1.665
  1996.1700       0.02956
  1996.2500       0.08657
  1996.3300       -0.6170
  1996.4200       -0.4910
  1996.5000        0.1604
  1996.5800       0.03662
  1996.6700       -0.5661
  1996.7500       -0.3102
  1996.8300         1.139
  1996.9200         2.848
  1997.0000         2.481
  1997.0800         2.010
  1997.1700         1.604
  1997.2500         2.582
  1997.3300         2.713
  1997.4200         1.960
  1997.5000         1.124
  1997.5800         1.179
  1997.6700        0.5835
  1997.7500       -0.9607
  1997.8300       -0.8826
  1997.9200       0.02801
  1998.0000       -0.7971
  1998.0800        -2.178
  1998.1700        -1.943
  1998.2500        -1.159
  1998.3300       -0.8426
  1998.4200       -0.9592
  1998.5000       -0.1665
  1998.5800       -0.1279
  1998.6700       -0.2258
  1998.7500        0.9965
  1998.8300         2.251
  1998.9200         2.192
  1999.0000         1.988
  1999.0800         1.738
  1999.1700         1.704
  1999.2500         2.361
  1999.3300      0.002004
  1999.4200        0.8598
  1999.5000        0.6751
  1999.5800       0.05689
  1999.6700       -0.3813
  1999.7500       -0.3466
  1999.8300       -0.2362
  1999.9200       -0.7680
  2000.0000      -0.09489
  2000.0800       -0.4483
  2000.1700        0.3823
  2000.2500       -0.5412
  2000.3300        0.4097
  2000.4200       -0.8157
  2000.5000      -0.02104
  2000.5800       -0.1097
  2000.6700        0.4365
  2000.7500        0.3231
  2000.8300       -0.1989
  2000.9200       -0.5443
  2001.0000        -1.418
  2001.0800        -1.140
  2001.1700       -0.3900
  2001.2500        0.4836
  2001.3300        -1.109
  2001.4200        0.9218
  2001.5000         1.229
  2001.5800        0.6525
  2001.6700        0.3679
  2001.7500         1.809
  2001.8300         1.850
  2001.9200         1.045
  2002.0000         1.691
  2002.0800         2.233
  2002.1700        0.6575
  2002.2500        0.9771
  2002.3300         1.512
  2002.4200        0.9530
  2002.5000        0.5035
  2002.5800       -0.4048
  2002.6700        -1.579
  2002.7500        -2.102
  2002.8300        -2.003
  2002.9200        -2.435
  2003.0000        -2.127
  2003.0800        -1.315
  2003.1700        -1.477
  2003.2500        -1.952
