NTime  264 NIMF  8

       Time       RawData
  1990.0800        -6.502
  1990.1700         6.134
  1990.2500        -1.996
  1990.3300       -0.2781
  1990.4200       0.07685
  1990.5000        0.8144
  1990.5800        0.9570
  1990.6700        0.8725
  1990.7500        0.8798
  1990.8300      0.008599
  1990.9200        -1.674
  1991.0000        -1.807
  1991.0800         2.166
  1991.1700         3.861
  1991.2500        0.3222
  1991.3300         5.628
  1991.4200        0.1733
  1991.5000        0.1493
  1991.5800        0.4237
  1991.6700        0.8945
  1991.7500         1.284
  1991.8300        0.9947
  1991.9200       -0.5148
  1992.0000        -1.470
  1992.0800         6.094
  1992.1700         5.224
  1992.2500         1.239
  1992.3300         8.524
  1992.4200         2.245
  1992.5000         1.257
  1992.5800        0.8812
  1992.6700         1.051
  1992.7500         1.306
  1992.8300         1.728
  1992.9200         1.734
  1993.0000        -1.004
  1993.0800        -5.710
  1993.1700        -5.229
  1993.2500         6.266
  1993.3300         2.956
  1993.4200        0.6040
  1993.5000        0.2611
  1993.5800        0.4296
  1993.6700        0.2351
  1993.7500        0.9881
  1993.8300        0.5046
  1993.9200         2.769
  1994.0000        0.8948
  1994.0800         5.891
  1994.1700        -4.403
  1994.2500        -7.395
  1994.3300         6.055
  1994.4200         5.526
  1994.5000         1.095
  1994.5800        0.8785
  1994.6700        0.7190
  1994.7500        0.8202
  1994.8300        0.1649
  1994.9200        -1.123
  1995.0000       -0.2090
  1995.0800        -6.749
  1995.1700         6.281
  1995.2500        -1.718
  1995.3300       -0.8480
  1995.4200         1.760
  1995.5000       0.01906
  1995.5800        0.3076
  1995.6700       -0.1326
  1995.7500        0.3498
  1995.8300      -0.01135
  1995.9200       -0.5842
  1996.0000        -1.002
  1996.0800        -7.900
  1996.1700        -8.029
  1996.2500        -5.387
  1996.3300         5.017
  1996.4200         3.730
  1996.5000         1.318
  1996.5800        0.3378
  1996.6700        0.6063
  1996.7500        0.6422
  1996.8300       -0.2795
  1996.9200       -0.9120
  1997.0000         2.799
  1997.0800         2.416
  1997.1700        -7.061
  1997.2500        -13.42
  1997.3300        -12.16
  1997.4200        -2.936
  1997.5000         4.211
  1997.5800        0.8293
  1997.6700        0.1862
  1997.7500        0.1151
  1997.8300       0.05202
  1997.9200        -1.089
  1998.0000        -2.397
  1998.0800         3.095
  1998.1700         7.950
  1998.2500      -0.03102
  1998.3300        0.3689
  1998.4200         3.249
  1998.5000        0.3359
  1998.5800       -0.4977
  1998.6700        0.2565
  1998.7500        0.6582
  1998.8300        0.8380
  1998.9200         1.271
  1999.0000        0.1676
  1999.0800         4.109
  1999.1700         8.834
  1999.2500        -8.473
  1999.3300         8.137
  1999.4200        -1.335
  1999.5000        -3.864
  1999.5800        -1.310
  1999.6700       -0.2838
  1999.7500       -0.3462
  1999.8300        0.4336
  1999.9200      0.004734
  2000.0000        -2.056
  2000.0800        -2.838
  2000.1700        -8.457
  2000.2500        -4.289
  2000.3300        -4.164
  2000.4200         5.145
  2000.5000         2.001
  2000.5800      -0.02347
  2000.6700        0.6289
  2000.7500        0.3353
  2000.8300        0.3462
  2000.9200       0.02299
  2001.0000       -0.4330
  2001.0800         5.597
  2001.1700         4.187
  2001.2500        -2.662
  2001.3300         7.785
  2001.4200        -3.238
  2001.5000        -5.890
  2001.5800        -2.079
  2001.6700      -0.06788
  2001.7500        0.3238
  2001.8300        0.4927
  2001.9200        0.9091
  2002.0000       -0.5102
  2002.0800        -1.012
  2002.1700         7.351
  2002.2500         9.289
  2002.3300         6.103
  2002.4200       -0.8027
  2002.5000        -2.506
  2002.5800      -0.08668
  2002.6700        0.1193
  2002.7500        0.1852
  2002.8300       -0.3308
  2002.9200     -0.008758
  2003.0000        -2.238
  2003.0800        -4.498
  2003.1700        -2.399
  2003.2500         8.466
  2003.3300         3.897
  2003.4200         1.189
  2003.5000         3.418
  2003.5800         2.878
  2003.6700        0.6798
  2003.7500        0.7378
  2003.8300        0.3297
  2003.9200        0.5852
  2004.0000        0.9850
  2004.0800        -1.241
  2004.1700       -0.5341
  2004.2500         14.82
  2004.3300        0.3893
  2004.4200        -8.015
  2004.5000        -9.734
  2004.5800       -0.5981
  2004.6700        0.5519
  2004.7500      -0.01374
  2004.8300       -0.3375
  2004.9200      -0.07476
  2005.0000        -1.220
  2005.0800         1.193
  2005.1700        -1.717
  2005.2500        -7.315
  2005.3300        -8.899
  2005.4200         3.150
  2005.5000         7.517
  2005.5800       0.09737
  2005.6700       0.03728
  2005.7500        0.8033
  2005.8300        0.2698
  2005.9200        0.2470
  2006.0000       -0.7800
  2006.0800         2.959
  2006.1700       -0.5681
  2006.2500         1.183
  2006.3300         15.44
  2006.4200        -3.949
  2006.5000        -7.863
  2006.5800        -5.760
  2006.6700       -0.6929
  2006.7500        0.9487
  2006.8300        0.3975
  2006.9200        0.1844
  2007.0000       -0.4832
  2007.0800         2.581
  2007.1700        -4.161
  2007.2500         1.008
  2007.3300        -3.819
  2007.4200         1.480
  2007.5000       -0.3948
  2007.5800         2.318
  2007.6700         1.191
  2007.7500        0.2065
  2007.8300       0.01856
  2007.9200        0.2434
  2008.0000       0.02755
  2008.0800         1.294
  2008.1700        0.3062
  2008.2500        -5.779
  2008.3300        -3.636
  2008.4200         4.953
  2008.5000         6.198
  2008.5800        -2.917
  2008.6700        -3.112
  2008.7500       -0.1634
  2008.8300        0.2648
  2008.9200        0.6653
  2009.0000        0.1443
  2009.0800        -1.041
  2009.1700       -0.6034
  2009.2500        0.6750
  2009.3300        -4.444
  2009.4200         14.24
  2009.5000        -4.622
  2009.5800        -7.909
  2009.6700        -2.674
  2009.7500       -0.2125
  2009.8300        0.2283
  2009.9200       -0.1024
  2010.0000      0.004764
  2010.0800       -0.9216
  2010.1700         4.226
  2010.2500         1.683
  2010.3300        -8.182
  2010.4200         8.791
  2010.5000         3.050
  2010.5800        0.1151
  2010.6700        -1.550
  2010.7500       -0.1046
  2010.8300        0.5212
  2010.9200        0.2089
  2011.0000        0.3952
  2011.0800       -0.1884
  2011.1700        0.7372
  2011.2500        -2.197
  2011.3300        -3.558
  2011.4200        -7.137
  2011.5000        -12.84
  2011.5800         1.204
  2011.6700         6.145
  2011.7500        0.1896
  2011.8300      -0.07043
  2011.9200       -0.3508
  2012.0000        0.2069

       Time         IMF1          IMF2          IMF3          IMF4          IMF5          IMF6          IMF7      Residual
  1990.0800       -5.827       -0.5980      -0.09411       -0.4182       -0.2989       0.09267       0.04409        0.7473
  1990.1700        4.675        0.9595        0.1628       -0.3615       -0.2770        0.1413       0.03742        0.7421
  1990.2500       -3.159        0.5258        0.2277       -0.3238       -0.2528        0.1869       0.03089        0.7368
  1990.3300      -0.6520       -0.3181        0.1525       -0.3019       -0.2265        0.2295       0.02448        0.7316
  1990.4200     -0.06694       -0.3322      -0.01099       -0.2928       -0.1985        0.2692       0.01820        0.7263
  1990.5000       0.2665        0.2927       -0.2113       -0.2934       -0.1688        0.3061       0.01204        0.7212
  1990.5800     -0.06122        0.8377       -0.3997       -0.3004       -0.1378        0.3401      0.006016        0.7160
  1990.6700    -0.009184        0.8891       -0.5341       -0.3109       -0.1056        0.3715     0.0001127        0.7109
  1990.7500       0.4169        0.3294       -0.5809       -0.3215      -0.07255        0.4001     -0.005666        0.7058
  1990.8300       0.3943       -0.6168       -0.5209       -0.3293      -0.03882        0.4262      -0.01132        0.7007
  1990.9200      -0.9106        -1.302       -0.3473       -0.3309     -0.004666        0.4497      -0.01685        0.6956
  1991.0000       -1.352        -1.201      -0.07121       -0.3224       0.02970        0.4706      -0.02226        0.6906
  1991.0800        1.319       -0.4669        0.2497       -0.2999       0.06403        0.4892      -0.02755        0.6856
  1991.1700        1.892        0.4673        0.5275       -0.2596       0.09810        0.5053      -0.03271        0.6806
  1991.2500       -2.609         1.225        0.6663       -0.1983        0.1317        0.5192      -0.03776        0.6757
  1991.3300        2.487         1.238        0.5885       -0.1143        0.1645        0.5308      -0.04268        0.6708
  1991.4200       -1.738        0.2349        0.2879     -0.009777        0.1964        0.5401      -0.04749        0.6659
  1991.5000      -0.5710       -0.6496       -0.1652        0.1097        0.2272        0.5474      -0.05218        0.6610
  1991.5800       0.1063       -0.6419       -0.6709        0.2371        0.2565        0.5525      -0.05674        0.6562
  1991.6700       0.3045       -0.1582        -1.096        0.3651        0.2841        0.5556      -0.06119        0.6513
  1991.7500       0.6253      -0.07603        -1.303        0.4867        0.3100        0.5568      -0.06553        0.6465
  1991.8300       0.6398       -0.5905        -1.214        0.5956        0.3337        0.5560      -0.06975        0.6418
  1991.9200      -0.8613        -1.032       -0.8364        0.6860        0.3552        0.5534      -0.07385        0.6370
  1992.0000       -2.640       -0.7880       -0.2319        0.7526        0.3743        0.5490      -0.07783        0.6323
  1992.0800        3.415      -0.07743        0.4751        0.7900        0.3906        0.5428      -0.08171        0.6276
  1992.1700        1.284        0.5235         1.134        0.7929        0.4041        0.5350      -0.08547        0.6230
  1992.2500       -3.705         1.042         1.595        0.7560        0.4147        0.5256      -0.08911        0.6183
  1992.3300        3.286         1.328         1.744        0.6749        0.4224        0.5146      -0.09264        0.6137
  1992.4200       -1.934        0.5274         1.558        0.5501        0.4274        0.5021      -0.09607        0.6092
  1992.5000      -0.9488       -0.6622         1.106        0.3901        0.4300        0.4882      -0.09938        0.6046
  1992.5800      -0.2831       -0.8758        0.4804        0.2074        0.4307        0.4729       -0.1026        0.6001
  1992.6700       0.1006      -0.05614       -0.2171       0.01570        0.4299        0.4563       -0.1057        0.5956
  1992.7500      0.06429        0.8751       -0.8537       -0.1714        0.4278        0.4384       -0.1086        0.5911
  1992.8300        1.201        0.9022        -1.301       -0.3403        0.4250        0.4193       -0.1115        0.5866
  1992.9200        2.496       -0.1416        -1.494       -0.4774        0.4218        0.3991       -0.1143        0.5822
  1993.0000        1.008        -1.418        -1.423       -0.5723        0.4187        0.3778       -0.1169        0.5778
  1993.0800       -3.408        -1.853        -1.104       -0.6209        0.4159        0.3554       -0.1195        0.5734
  1993.1700       -4.571       -0.7577       -0.5942       -0.6248        0.4138        0.3321       -0.1219        0.5691
  1993.2500        4.580         1.193      -0.03333       -0.5879        0.4124        0.3079       -0.1243        0.5648
  1993.3300     0.003431         1.897        0.4256       -0.5153        0.4119        0.2829       -0.1265        0.5605
  1993.4200       -1.891         1.161        0.6749       -0.4128        0.4122        0.2570       -0.1286        0.5562
  1993.5000       -1.096       -0.2142        0.7280       -0.2885        0.4131        0.2305       -0.1307        0.5520
  1993.5800      0.02023        -1.164        0.6538       -0.1529        0.4144        0.2033       -0.1326        0.5478
  1993.6700      -0.1054        -1.268        0.5338      -0.01755        0.4159        0.1756       -0.1344        0.5436
  1993.7500       0.3854       -0.9183        0.4259        0.1076        0.4170        0.1473       -0.1361        0.5394
  1993.8300      -0.5565       -0.4383        0.3319        0.2164        0.4174        0.1187       -0.1377        0.5353
  1993.9200       0.6149        0.6747        0.1764        0.3041        0.4165       0.08965       -0.1393        0.5312
  1994.0000       -2.174         1.822      -0.05910        0.3668        0.4138       0.06036       -0.1407        0.5271
  1994.0800        4.185        0.8600       -0.3238        0.4011        0.4088       0.03088       -0.1420        0.5230
  1994.1700       -3.854        -1.302       -0.5075        0.4054        0.4008      0.001283       -0.1432        0.5190
  1994.2500       -5.840        -2.159       -0.4817        0.3809        0.3895      -0.02836       -0.1443        0.5150
  1994.3300        5.717       -0.5003       -0.1884        0.3314        0.3745      -0.05797       -0.1454        0.5110
  1994.4200        3.200         1.218        0.2311        0.2631        0.3555      -0.08748       -0.1463        0.5070
  1994.5000       -1.922         1.712        0.5863        0.1826        0.3322       -0.1168       -0.1471        0.5031
  1994.5800       -1.420         1.005        0.7023       0.09617        0.3045       -0.1459       -0.1479        0.4992
  1994.6700      -0.6868        0.4003        0.4732       0.01048        0.2725       -0.1746       -0.1485        0.4953
