NTime 7970 NIMF 12

       Time       RawData
  1990.0123        -10.21
  1990.0150        -9.820
  1990.0178        -10.00
  1990.0205        -9.675
  1990.0233        -9.020
  1990.0260        -7.771
  1990.0287        -6.564
  1990.0315        -4.939
  1990.0342        -4.163
  1990.0370        -5.231
  1990.0397        -5.959
  1990.0425        -4.827
  1990.0452        -3.639
  1990.0480        -3.061
  1990.0507        -4.194
  1990.0533        -5.493
  1990.0562        -6.362
  1990.0588        -5.568
  1990.0616        -5.221
  1990.0643        -5.671
  1990.0671        -6.334
  1990.0698        -6.519
  1990.0726        -6.614
  1990.0753        -5.566
  1990.0780        -5.071
  1990.0808        -5.457
  1990.0835        -5.784
  1990.0863        -7.229
  1990.0890        -10.26
  1990.0918        -8.790
  1990.0945        -3.638
  1990.0973        0.5669
  1990.1000         2.037
  1990.1027         2.362
  1990.1055         5.254
  1990.1082         11.90
  1990.1110         17.79
  1990.1136         19.39
  1990.1165         20.05
  1990.1191         18.83
  1990.1219         17.98
  1990.1246         14.75
  1990.1273         11.00
  1990.1301         7.929
  1990.1328         7.176
  1990.1356         7.674
  1990.1383         6.820
  1990.1411         6.669
  1990.1438         6.154
  1990.1466         5.074
  1990.1493         3.578
  1990.1520         4.581
  1990.1548         1.893
  1990.1575         1.124
  1990.1603       -0.1045
  1990.1630        -2.864
  1990.1658        -1.232
  1990.1685        -2.160
  1990.1713        -3.076
  1990.1740        -3.449
  1990.1766        -3.064
  1990.1794        -2.466
  1990.1821        -2.891
  1990.1849        -3.704
  1990.1876        -4.351
  1990.1904        -4.525
  1990.1931        -4.740
  1990.1959        -4.265
  1990.1986        -3.449
  1990.2013        -2.248
  1990.2041        -1.401
  1990.2068       -0.6632
  1990.2096       -0.2692
  1990.2123         1.465
  1990.2151         1.285
  1990.2178        0.9989
  1990.2206        0.9429
  1990.2233         1.631
  1990.2260        0.9786
  1990.2288        -1.420
  1990.2314        -2.450
  1990.2343        -2.668
  1990.2369        -2.784
  1990.2397        -2.509
  1990.2424        -1.811
  1990.2452        -2.274
  1990.2479        -3.439
  1990.2506        -3.542
  1990.2534        -2.996
  1990.2561        -3.218
  1990.2589        -3.851
  1990.2616        -3.948
  1990.2644        -4.056
  1990.2671        -4.573
  1990.2698        -4.053
  1990.2726        -2.594
  1990.2753        -1.079
  1990.2781       -0.7149
  1990.2808       -0.5832
  1990.2836        0.3142
  1990.2863         1.194
  1990.2891         1.581
  1990.2917         1.633
  1990.2944         1.828
  1990.2972         1.382
  1990.2999        0.8083
  1990.3027       -0.2653
  1990.3054       -0.4977
  1990.3082       -0.6226
  1990.3109      0.004710
  1990.3137         3.721
  1990.3164         1.311
  1990.3191        0.8853
  1990.3219        0.4718
  1990.3246        0.4123
  1990.3274        0.5302
  1990.3301        0.6755
  1990.3329        0.6992
  1990.3356        0.5895
  1990.3384        0.4863
  1990.3411        0.2728
  1990.3438        0.1347
  1990.3466        0.1488
  1990.3492        0.1736
  1990.3521     0.0007627
  1990.3547       -0.2879
  1990.3575       -0.4749
  1990.3602       -0.7301
  1990.3630       -0.8609
  1990.3657       -0.7512
  1990.3684       -0.5004
  1990.3712       -0.2698
  1990.3739       -0.1094
  1990.3767       0.06083
  1990.3794        0.2243
  1990.3822        0.1991
  1990.3849        0.2482
  1990.3877        0.3802
  1990.3904        0.4785
  1990.3931        0.4538
  1990.3959        0.3547
  1990.3986        0.2981
  1990.4014        0.2993
  1990.4041        0.2791
  1990.4069        0.3457
  1990.4095        0.3924
  1990.4124        0.3464
  1990.4150        0.2800
  1990.4177        0.3803
  1990.4205        0.5726
  1990.4232        0.6296
  1990.4260        0.4444
  1990.4287        0.2231
  1990.4315        0.1434
  1990.4342        0.2832
  1990.4370        0.3548
  1990.4397        0.3106
  1990.4424        0.2883
  1990.4452        0.4379
  1990.4479        0.5025
  1990.4507        0.6467
  1990.4534        0.6282
  1990.4562        0.7351
  1990.4589        0.5569
  1990.4617        0.5879
  1990.4644        0.6988
  1990.4670        0.8655
  1990.4698         1.022
  1990.4725         1.079
  1990.4753         1.139
  1990.4780         1.152
  1990.4808         1.135
  1990.4835         1.132
  1990.4863         1.164
  1990.4890         1.252
  1990.4917         1.306
  1990.4945         1.418
  1990.4972         1.485
  1990.5000         1.441
  1990.5027         1.403
  1990.5055         1.418
  1990.5082         1.388
  1990.5110         1.365
  1990.5137         1.430
  1990.5164         1.443
  1990.5192         1.432
  1990.5219         1.445
  1990.5247         1.475
  1990.5273         1.452
  1990.5302         1.400
  1990.5328         1.332
  1990.5356         1.172
  1990.5383         1.102
  1990.5410        0.9091
  1990.5438        0.8323
  1990.5465        0.8237
  1990.5493        0.8450
  1990.5520        0.7221
  1990.5548        0.5021
  1990.5575        0.4611
  1990.5603        0.5330
  1990.5630        0.6271
  1990.5657        0.6483
  1990.5685        0.5832
  1990.5712        0.4807
  1990.5740        0.4376
  1990.5767        0.4886
  1990.5795        0.6480
  1990.5822        0.6396
  1990.5850        0.7099
  1990.5876        0.6776
  1990.5903        0.6769
  1990.5931        0.7168
  1990.5958        0.8750
  1990.5986        0.9233
  1990.6013         1.026
  1990.6041         1.125
  1990.6068         1.067
  1990.6096         1.225
  1990.6123         1.196
  1990.6150         1.119
  1990.6178         1.041
  1990.6205        0.8649
  1990.6233        0.6661
  1990.6260        0.4901
  1990.6288        0.3967
  1990.6315        0.2667
  1990.6343        0.2257
  1990.6370        0.3425
  1990.6396        0.4458
  1990.6425        0.4954
  1990.6451        0.5952
  1990.6479        0.7889
  1990.6506         1.000
  1990.6534         1.177
  1990.6561         1.317
  1990.6589         1.389
  1990.6616         1.376
  1990.6643         1.365
  1990.6671         1.337
  1990.6698         1.189
  1990.6726         1.035
  1990.6753        0.9752
  1990.6781        0.9721
  1990.6808        0.8551
  1990.6836         1.005
  1990.6863         1.149
  1990.6890         1.202
  1990.6918         1.292
  1990.6945         1.258
  1990.6973         1.205
  1990.7000         1.284
  1990.7028         1.359
  1990.7054         1.415
  1990.7083         1.401
  1990.7109         1.319
  1990.7136         1.003
  1990.7164        0.6947
  1990.7191        0.2915
  1990.7219      -0.07534
  1990.7246      -0.06061
  1990.7274       0.04700
  1990.7301        0.1853
  1990.7329        0.3003
  1990.7356        0.4597
  1990.7383        0.5872
  1990.7411        0.7320
  1990.7438        0.9216
  1990.7466         1.134
  1990.7493         1.292
  1990.7521         1.289
  1990.7548         1.288
  1990.7574         1.028
  1990.7603         1.031
  1990.7629        0.8805
  1990.7657        0.8217
  1990.7684         1.229
  1990.7712        0.9302
  1990.7739        0.7295
  1990.7767        0.4346
  1990.7794        0.1801
  1990.7821      -0.01391
  1990.7849       -0.2317
  1990.7876       -0.5623
  1990.7904       -0.7586
  1990.7931       -0.8676
  1990.7959       -0.6879
  1990.7986       -0.3521
  1990.8014      -0.08432
  1990.8041     -0.008697
  1990.8068       0.05910
  1990.8096       0.02589
  1990.8123       0.01746
  1990.8151       0.03260
  1990.8177       -0.2294
  1990.8206       -0.5892
  1990.8232        -1.008
  1990.8260        -1.358
  1990.8287        -1.494
  1990.8314        -1.439
  1990.8342        -1.588
  1990.8369        -1.827
  1990.8397        -1.790
  1990.8424        -1.742
  1990.8452        -1.546
  1990.8479        -1.841
  1990.8507        -2.105
  1990.8534        -2.119
  1990.8561        -1.963
  1990.8589        -1.855
  1990.8616        -1.425
  1990.8644        -1.131
  1990.8671       -0.9860
  1990.8699        -1.183
  1990.8726        -1.364
  1990.8754        -1.172
  1990.8781        -1.219
  1990.8807        -1.532
  1990.8835        -1.859
  1990.8862        -2.059
  1990.8890        -1.771
  1990.8917        -2.112
  1990.8945        -2.539
  1990.8972        -3.158
  1990.9000        -3.169
  1990.9027        -3.029
  1990.9054        -2.062
  1990.9082        -1.449
  1990.9109         1.755
  1990.9137       -0.3322
  1990.9164      -0.04413
  1990.9192       -0.6046
  1990.9219        -1.956
  1990.9247        -2.353
  1990.9274        -2.635
  1990.9301        -3.087
  1990.9329        -3.768
  1990.9355        -3.729
  1990.9384        -3.285
  1990.9410        -2.478
  1990.9438       -0.9876
  1990.9465        0.1039
  1990.9493         1.252
  1990.9520         2.184
  1990.9547         1.662
  1990.9575        0.9349
  1990.9602        0.7357
  1990.9630         1.752
  1990.9657         1.192
  1990.9685       -0.6969
  1990.9712       -0.9598
  1990.9740        -1.237
  1990.9767        -2.181
  1990.9794        -3.776
  1990.9822        -5.457
  1990.9849        -6.344
  1990.9877        -6.072
  1990.9904        -5.464
  1990.9932        -4.058
  1990.9958        -2.808
  1990.9987        -2.037
  1991.0013        -1.179
  1991.0040       -0.9530
  1991.0068        -1.868
  1991.0095        -3.156
  1991.0123        -4.082
  1991.0150        -4.688
  1991.0178        -3.446
  1991.0205        -1.190
  1991.0233         2.178
  1991.0260         6.207
  1991.0287         9.458
  1991.0315         4.375
  1991.0342        -1.238
  1991.0370        -5.023
  1991.0397        -7.125
  1991.0425        -8.234
  1991.0452        -6.871
  1991.0480        -3.581
  1991.0507         1.297
  1991.0533         5.151
  1991.0562         8.708
  1991.0588         13.14
  1991.0616         7.807
  1991.0643         10.92
  1991.0671         6.769
  1991.0698         6.189
  1991.0726         8.028
  1991.0753         14.52
  1991.0780         14.93
  1991.0808         8.520
  1991.0835         3.278
  1991.0863         1.353
  1991.0890         4.322
  1991.0918         9.250
  1991.0945         11.29
  1991.0973         12.10
  1991.1000         11.45
  1991.1027         9.939
  1991.1055         8.640
  1991.1082         9.818
  1991.1110         10.58
  1991.1136         10.89
  1991.1165         9.539
  1991.1191         7.701
  1991.1219         6.646
  1991.1246         5.771
  1991.1273         4.543
  1991.1301         3.695
  1991.1328         2.501
  1991.1356        0.7746
  1991.1383       -0.9267
  1991.1411        -2.756
  1991.1438        -4.088
  1991.1466        -4.381
  1991.1493        -4.271
  1991.1520        -4.385
  1991.1548        -4.614
  1991.1575        -5.218
  1991.1603        -6.095
  1991.1630        -6.907
  1991.1658        -7.197
  1991.1685        -6.674
  1991.1713        -5.672
  1991.1740        -4.461
  1991.1766        -3.263
  1991.1794        -2.344
  1991.1821        -2.206
  1991.1849        -1.993
  1991.1876        -1.418
  1991.1904        -1.010
  1991.1931       -0.3724
  1991.1959         1.067
  1991.1986         2.549
  1991.2013         2.852
  1991.2041         2.413
  1991.2068         1.794
  1991.2096        0.9756
  1991.2123        0.4684
  1991.2151       0.08565
  1991.2178         1.114
  1991.2206         2.222
  1991.2233         3.184
  1991.2260         2.029
  1991.2288         2.661
  1991.2314         3.809
  1991.2343         4.253
  1991.2369         5.588
  1991.2397         7.576
  1991.2424         8.575
  1991.2452         7.980
  1991.2479         7.372
  1991.2506         5.927
  1991.2534         4.712
  1991.2561         4.574
  1991.2589         5.207
  1991.2616         5.953
  1991.2644         6.370
  1991.2671         6.656
  1991.2698         7.637
  1991.2726         8.554
  1991.2753         8.896
  1991.2781         8.651
  1991.2808         8.536
  1991.2836         8.231
  1991.2863         7.902
  1991.2891         7.087
  1991.2917         6.347
  1991.2944         5.641
  1991.2972         5.136
  1991.2999         4.722
  1991.3027         4.410
  1991.3054         4.048
  1991.3082         3.842
  1991.3109         3.416
  1991.3137         3.105
  1991.3164         2.734
  1991.3191         2.256
  1991.3219         1.658
  1991.3246         1.301
  1991.3274         1.035
  1991.3301        0.9073
  1991.3329        0.8414
  1991.3356        0.8583
  1991.3384        0.7212
  1991.3411        0.5385
  1991.3438        0.3377
  1991.3466        0.2508
  1991.3492        0.2275
  1991.3521        0.1585
  1991.3547        0.1693
  1991.3575        0.1295
  1991.3602        0.1161
  1991.3630       0.05470
  1991.3657        0.1232
  1991.3684       -0.2153
  1991.3712       -0.1746
  1991.3739       -0.1318
  1991.3767       -0.2374
  1991.3794       -0.1172
  1991.3822      0.002338
  1991.3849        0.1416
  1991.3877        0.1430
  1991.3904       0.01064
  1991.3931       -0.1011
  1991.3959       -0.1228
  1991.3986      -0.06289
  1991.4014      -0.03708
  1991.4041       -0.1158
  1991.4069       -0.2164
  1991.4095       -0.3007
  1991.4124       -0.4163
  1991.4150       -0.4316
  1991.4177       -0.4436
  1991.4205       -0.4347
  1991.4232       -0.5012
  1991.4260       -0.5190
  1991.4287       -0.4813
  1991.4315       -0.3912
  1991.4342       -0.2837
  1991.4370       -0.2416
  1991.4397       -0.2466
  1991.4424       -0.2004
  1991.4452       -0.1296
  1991.4479       -0.1162
  1991.4507     -0.001889
  1991.4534       0.08114
  1991.4562        0.1880
  1991.4589        0.3712
  1991.4617        0.5520
  1991.4644        0.6342
  1991.4670        0.7128
  1991.4698        0.7492
  1991.4725        0.7112
  1991.4753        0.8656
  1991.4780         1.012
  1991.4808         1.021
  1991.4835        0.9124
  1991.4863        0.9092
  1991.4890        0.9332
  1991.4917        0.9570
  1991.4945        0.8969
  1991.4972        0.8210
  1991.5000        0.8432
  1991.5027        0.9052
  1991.5055        0.7800
  1991.5082        0.7631
  1991.5110        0.7089
  1991.5137        0.6065
  1991.5164        0.2817
  1991.5192        0.3399
  1991.5219        0.2262
  1991.5247       0.05569
  1991.5273       -0.2173
  1991.5302       0.02779
  1991.5328        0.1783
  1991.5356        0.2742
  1991.5383        0.3261
  1991.5410        0.3900
  1991.5438        0.3973
  1991.5465        0.3783
  1991.5493        0.3758
  1991.5520        0.3819
  1991.5548        0.3494
  1991.5575        0.2679
  1991.5603        0.2219
  1991.5630        0.2734
  1991.5657        0.3770
  1991.5685        0.3340
  1991.5712        0.2240
  1991.5740        0.2154
  1991.5767        0.3075
  1991.5795        0.3965
  1991.5822        0.4569
  1991.5850        0.5045
  1991.5876        0.5162
  1991.5903        0.4923
  1991.5931        0.5440
  1991.5958        0.5523
  1991.5986        0.4863
  1991.6013        0.5614
  1991.6041        0.7676
  1991.6068        0.8815
  1991.6096        0.9086
  1991.6123        0.9241
  1991.6150        0.9476
  1991.6178        0.9515
  1991.6205        0.9956
  1991.6233         1.077
  1991.6260         1.128
  1991.6288         1.196
  1991.6315         1.205
  1991.6343         1.219
  1991.6370         1.220
  1991.6396         1.260
  1991.6425         1.266
  1991.6451         1.347
  1991.6479         1.395
  1991.6506         1.488
  1991.6534         1.660
  1991.6561         1.766
  1991.6589         1.900
  1991.6616         1.934
  1991.6643         1.865
  1991.6671         1.600
  1991.6698         1.736
  1991.6726         1.857
  1991.6753         1.899
  1991.6781         1.959
  1991.6808         1.283
  1991.6836         1.146
  1991.6863         1.135
  1991.6890         1.104
  1991.6918         1.110
  1991.6945         1.053
  1991.6973        0.9687
  1991.7000        0.9910
  1991.7028         1.034
  1991.7054         1.069
  1991.7083         1.123
  1991.7109         1.134
  1991.7136         1.114
  1991.7164         1.239
  1991.7191         1.337
  1991.7219         1.196
  1991.7246        0.8479
  1991.7274        0.6418
  1991.7301        0.6507
  1991.7329        0.8550
  1991.7356         1.003
  1991.7383         1.068
  1991.7411         1.157
  1991.7438         1.467
  1991.7466         1.794
  1991.7493         1.918
  1991.7521         1.749
  1991.7548         1.447
  1991.7574         1.149
  1991.7603        0.9629
  1991.7629        0.7536
  1991.7657        0.5708
  1991.7684        0.2343
  1991.7712        0.2254
  1991.7739        0.5629
  1991.7767        0.8813
  1991.7794         1.383
  1991.7821         1.652
  1991.7849         1.650
  1991.7876         1.484
  1991.7904         1.143
  1991.7931        0.9649
  1991.7959        0.8306
  1991.7986        0.7980
  1991.8014        0.7127
  1991.8041        0.7889
  1991.8068        0.6435
  1991.8096        0.4719
  1991.8123        0.3336
  1991.8151        0.5165
  1991.8177        0.5622
  1991.8206       -0.1969
  1991.8232       -0.1960
  1991.8260        -1.028
  1991.8287        -1.382
  1991.8314        -1.664
  1991.8342        -1.278
  1991.8369        -1.008
  1991.8397       -0.5264
  1991.8424        0.6532
  1991.8452         1.828
  1991.8479         1.972
  1991.8507         1.012
  1991.8534       -0.1148
  1991.8561       -0.5711
  1991.8589       -0.8561
  1991.8616        -1.207
  1991.8644        -1.467
  1991.8671        -1.428
  1991.8699        -1.267
  1991.8726        -1.372
  1991.8754        -1.375
  1991.8781        -1.389
  1991.8807        -1.150
  1991.8835       -0.3677
  1991.8862        0.8380
  1991.8890         1.796
  1991.8917        0.7929
  1991.8945       -0.7810
  1991.8972        -1.608
  1991.9000        -2.067
